0,1
data/hcs_augmented_combination_dataset/029_1_13_white_1_RandomHorizontalShear_RandomRotate.png,Nxc6
data/hcs_augmented_combination_dataset/072_0_15_white_1_RandomHorizontalShear_RandomRotate.png,Nd5
data/hcs_augmented_combination_dataset/018_0_38_white_6_RandomRotate_RandomHorizontalScale_RandomHorizontalShear.png,Bf3
data/hcs_augmented_combination_dataset/059_0_30_black_4_RandomRotate.png,Qg2+
data/hcs_augmented_combination_dataset/037_1_29_white_1_RandomHorizontalScale_RandomRotate_RandomHorizontalShear.png,Qf3
data/hcs_augmented_combination_dataset/021_0_18_black_5_RandomHorizontalShear.png,Rae8
data/hcs_augmented_combination_dataset/043_0_57_white_7_RandomHorizontalScale_RandomRotate_RandomHorizontalShear.png,Qe8
data/hcs_augmented_combination_dataset/128_0_7_white_8_RandomHorizontalShear_RandomRotate_RandomHorizontalScale.png,Bb5
data/hcs_augmented_combination_dataset/121_0_1_white_9_RandomHorizontalScale_RandomHorizontalShear.png,d4
data/hcs_augmented_combination_dataset/080_0_11_black_5_RandomRotate.png,Nxb3+
data/hcs_augmented_combination_dataset/037_0_9_black_2_RandomHorizontalScale_RandomRotate.png,Bf5
data/hcs_augmented_combination_dataset/075_0_18_white_9_RandomHorizontalShear_RandomHorizontalScale_RandomRotate.png,Rxd7
data/hcs_augmented_combination_dataset/142_0_13_white_7_RandomHorizontalScale_RandomRotate_RandomHorizontalShear.png,Bb2
data/hcs_augmented_combination_dataset/078_0_18_white_3_RandomHorizontalScale_RandomHorizontalShear_RandomRotate.png,Rad1
data/hcs_augmented_combination_dataset/063_0_4_black_1_RandomHorizontalShear.png,Qxb2
data/hcs_augmented_combination_dataset/020_0_25_black_1_RandomRotate_RandomHorizontalShear.png,Be6
data/hcs_augmented_combination_dataset/137_0_18_black_4_RandomHorizontalShear.png,Bxh3
data/hcs_augmented_combination_dataset/073_0_16_black_8_RandomHorizontalScale.png,Bxg4
data/hcs_augmented_combination_dataset/103_1_24_white_3_RandomHorizontalScale_RandomRotate.png,Rxd8+
data/hcs_augmented_combination_dataset/066_0_2_white_8_RandomRotate.png,Bf4
data/hcs_augmented_combination_dataset/139_0_15_black_7_RandomRotate_RandomHorizontalScale_RandomHorizontalShear.png,Nc7
data/hcs_augmented_combination_dataset/029_0_14_white_8_RandomHorizontalScale.png,Bd4
data/hcs_augmented_combination_dataset/019_0_2_black_3_RandomRotate_RandomHorizontalScale_RandomHorizontalShear.png,Nf6
data/hcs_augmented_combination_dataset/075_0_11_black_4_RandomHorizontalShear_RandomHorizontalScale.png,Ng4
data/hcs_augmented_combination_dataset/153_0_24_black_8_RandomRotate_RandomHorizontalScale.png,Ne4+
data/hcs_augmented_combination_dataset/103_0_32_black_8_RandomRotate.png,Bxd4
data/hcs_augmented_combination_dataset/008_0_55_black_2_RandomRotate_RandomHorizontalShear.png,Rxb5
data/hcs_augmented_combination_dataset/103_0_12_black_8_RandomRotate_RandomHorizontalScale_RandomHorizontalShear.png,Be2
data/hcs_augmented_combination_dataset/113_0_16_black_9_RandomRotate.png,Kf8
data/hcs_augmented_combination_dataset/113_0_33_black_2_RandomHorizontalScale_RandomRotate_RandomHorizontalShear.png,c6
data/hcs_augmented_combination_dataset/024_1_4_white_1_RandomHorizontalScale_RandomRotate_RandomHorizontalShear.png,Bc4
data/hcs_augmented_combination_dataset/018_0_10_white_2_RandomHorizontalScale_RandomRotate.png,Bb3
data/hcs_augmented_combination_dataset/077_0_2_black_3_RandomHorizontalShear.png,c5
data/hcs_augmented_combination_dataset/053_1_35_white_7_RandomHorizontalScale.png,e7
data/hcs_augmented_combination_dataset/125_0_23_black_1_RandomHorizontalScale.png,Qf8
data/hcs_augmented_combination_dataset/128_0_23_black_0_RandomRotate_RandomHorizontalShear.png,Rc8
data/hcs_augmented_combination_dataset/032_0_27_white_1_RandomHorizontalShear_RandomHorizontalScale_RandomRotate.png,Qa4
data/hcs_augmented_combination_dataset/067_0_23_white_4_RandomRotate.png,Qd2
data/hcs_augmented_combination_dataset/012_0_22_white_4_RandomHorizontalShear_RandomRotate.png,Bb4
data/hcs_augmented_combination_dataset/133_0_3_white_7_RandomRotate.png,d4
data/hcs_augmented_combination_dataset/086_0_25_black_3_RandomHorizontalShear.png,g5
data/hcs_augmented_combination_dataset/015_0_2_black_4_RandomHorizontalShear_RandomRotate_RandomHorizontalScale.png,d5
data/hcs_augmented_combination_dataset/156_0_20_white_3_RandomRotate.png,Qe5
data/hcs_augmented_combination_dataset/150_0_6_black_5_RandomHorizontalShear.png,O-O
data/hcs_augmented_combination_dataset/010_0_29_black_8_RandomHorizontalShear_RandomRotate.png,Kf7
data/hcs_augmented_combination_dataset/057_0_14_black_0_RandomHorizontalScale.png,Be7
data/hcs_augmented_combination_dataset/119_0_16_white_0_RandomHorizontalScale.png,c3
data/hcs_augmented_combination_dataset/046_0_37_black_4_RandomHorizontalScale.png,Rc1+
